requirement_id,scenario,implementation_module,test,evidence_path,status
SYS-PROC-001,n/a (hardware),AI-D hardware SDK gate,n/a,docs/archive/superpowers/plans/2026-08-24-rov-realtime-closed-loop-master.md,gated
SYS-PROC-002,n/a (hardware),SV1213 hardware SDK gate,n/a,docs/archive/superpowers/plans/2026-08-24-rov-realtime-closed-loop-master.md,gated
SYS-PROC-003,n/a (hardware),BlueROV2 hardware interface gate,n/a,docs/archive/superpowers/plans/2026-08-24-rov-realtime-closed-loop-master.md,gated
SYS-PROC-004,n/a (hardware),hardware device acceptance policy,n/a,docs/archive/superpowers/plans/2026-08-24-rov-realtime-closed-loop-master.md,gated
SYS-RT-001,n/a (architecture),"include/runtime/bounded_queue.hpp, include/runtime/live_event_source.hpp",tests/runtime/live_event_source_test.cpp,tests/runtime/live_event_source_test.cpp,verified
SYS-RT-002,rov_realtime_nominal,include/runtime/live_event_source.hpp (drop-oldest overflow policy),tests/runtime/live_event_source_test.cpp,tests/runtime/live_event_source_test.cpp,verified
SYS-RT-003,rov_realtime_nominal,adapters/holoocean/uw_holoocean_adapter/run_report.py (rss_growth_after_warmup_mib gate),adapters/holoocean/tests/test_run_report.py,adapters/holoocean/tests/test_run_report.py,implemented
SYS-RT-004,rov_realtime_nominal,adapters/holoocean/uw_holoocean_adapter/run_report.py (cpu/gpu headroom fields),n/a (native host needed for a real CPU/GPU sample),adapters/holoocean/uw_holoocean_adapter/run_report.py,gated
SYS-RT-005,n/a (architecture),include/application/online_assist_pipeline.hpp (3-period activity timeout -> degraded; recovery resets cache),tests/application/online_assist_pipeline_test.cpp,tests/application/online_assist_pipeline_test.cpp,verified
SYS-TASK-001,aquaculture_search+structure_inspection,"adapters/holoocean/scenarios/{aquaculture_search,structure_inspection}.yaml",adapters/holoocean/tests/test_scenario_manifest.py,adapters/holoocean/tests/test_scenario_manifest.py,verified
SYS-TASK-002,n/a (architecture),"adapters/holoocean/uw_holoocean_adapter/scenario_manifest.py (TaskSpec is extensible per-task config, not hardcoded to these two)",adapters/holoocean/tests/test_scenario_manifest.py,adapters/holoocean/tests/test_scenario_manifest.py,implemented
